hour,ambient_temperature_C,ground_temperature_C,indoor_temperature_start_C,indoor_temperature,solar_irradiance_W_m2,wall_surface_temperature_C,roof_surface_temperature_C,conduction_heat_transfer_W,convection_heat_transfer_W,radiation_heat_transfer_W,opening_heat_transfer_W,solar_gain_W,total_heat_loss_W,net_heat_transfer_W,thermal_capacity_J_K,conduction_heat_transfer_energy_J,conduction_heat_transfer_energy_Wh,cumulative_conduction_heat_transfer_energy_J,cumulative_conduction_heat_transfer_energy_Wh,convection_heat_transfer_energy_J,convection_heat_transfer_energy_Wh,cumulative_convection_heat_transfer_energy_J,cumulative_convection_heat_transfer_energy_Wh,radiation_heat_transfer_energy_J,radiation_heat_transfer_energy_Wh,cumulative_radiation_heat_transfer_energy_J,cumulative_radiation_heat_transfer_energy_Wh,opening_heat_transfer_energy_J,opening_heat_transfer_energy_Wh,cumulative_opening_heat_transfer_energy_J,cumulative_opening_heat_transfer_energy_Wh,solar_gain_energy_J,solar_gain_energy_Wh,cumulative_solar_gain_energy_J,cumulative_solar_gain_energy_Wh,net_heat_transfer_energy_J,net_heat_transfer_energy_Wh,cumulative_net_heat_transfer_energy_J,cumulative_net_heat_transfer_energy_Wh,total_heat_loss_energy_J,total_heat_loss_energy_Wh,cumulative_total_heat_loss_energy_J,cumulative_total_heat_loss_energy_Wh
12,9.0,1.0,14.776169775618884,14.894587844122727,750.0,15.571313602511651,31.63587529005399,-1500.5937640806835,12469.279647389532,4679.0248245328485,0.0,19012.5,17511.90623591931,1500.5937640806915,45619200.0,-5402137.550690461,-1500.5937640806835,232904818.22139657,64695.78283927683,44889406.73060232,12469.279647389532,367846312.3729186,102179.53121469961,16844489.368318256,4679.0248245328485,119650131.08472076,33236.14752353355,0.0,0.0,0.0,0.0,68445000.0,19012.5,273780000.0,76050.0,5402137.550690489,1500.5937640806915,-232904818.22139657,-64695.78283927681,63042862.44930951,17511.90623591931,506684818.22139657,140745.78283927683
13,8.0,1.0,14.894587844122727,14.970395206619747,700.0,14.428178161301986,29.480593170411126,-960.6308975622264,11986.291512714217,4431.3503547649225,0.0,17745.0,16784.369102437762,960.6308975622378,45619200.0,-3458271.2312240154,-960.6308975622264,229446546.99017256,63735.151941714605,43150649.44577118,11986.291512714217,410996961.81868976,114165.82272741383,15952861.277153721,4431.3503547649225,135602992.3618745,37667.497878298476,0.0,0.0,0.0,0.0,63882000.0,17745.0,337662000.0,93795.0,3458271.2312240563,960.6308975622379,-229446546.9901725,-63735.151941714576,60423728.76877595,16784.369102437762,567108546.9901725,157530.15194171458
14,6.0,1.0,14.970395206619747,14.964641342068042,600.0,12.10956237470942,25.113254823752555,72.91297159920435,10976.381714759933,3937.8031979087555,0.0,15210.0,15282.912971599202,-72.91297159920214,45619200.0,262486.69775713567,72.91297159920435,229709033.6879297,63808.06491331381,39514974.17313576,10976.381714759933,450511935.9918255,125142.20444217377,14176091.51247152,3937.8031979087555,149779083.87434602,41605.30107620723,0.0,0.0,0.0,0.0,54756000.0,15210.0,392418000.0,109005.0,-262486.6977571277,-72.91297159920214,-229709033.68792963,-63808.06491331378,55018486.697757125,15282.912971599202,622127033.6879296,172813.06491331378
15,3.0,1.0,14.964641342068042,14.838773426774354,450.0,8.602702411906904,18.47000124724255,1594.9982226016077,9408.98092282153,3224.9411056519557,0.0,11407.5,13002.498222601602,-1594.9982226016018,45619200.0,5741993.601365788,1594.9982226016077,235451027.28929546,65403.063135915414,33872331.32215751,9408.98092282153,484384267.313983,134551.1853649953,11609787.980347041,3224.9411056519557,161388871.85469306,44830.24218185918,0.0,0.0,0.0,0.0,41067000.0,11407.5,433485000.0,120412.5,-5741993.6013657665,-1594.9982226016018,-235451027.2892954,-65403.06313591538,46808993.60136577,13002.498222601602,668936027.2892954,185815.56313591538
16,0.0,1.0,14.838773426774354,14.594884853969738,300.0,5.065015198434374,11.719565237574209,3090.5559945801083,7782.767352184318,2547.534546991547,0.0,7605.0,10695.555994580109,-3090.5559945801087,45619200.0,11126001.58048839,3090.5559945801083,246577028.86978385,68493.61913049553,28017962.467863545,7782.767352184318,512402229.7818466,142333.9527171796,9171124.369169569,2547.534546991547,170559996.22386262,47377.77672885073,0.0,0.0,0.0,0.0,27378000.0,7605.0,460863000.0,128017.5,-11126001.580488391,-3090.5559945801087,-246577028.8697838,-68493.61913049548,38504001.58048839,10695.555994580109,707440028.8697839,196511.1191304955
17,-3.0,1.0,14.594884853969738,14.235005761295985,150.0,1.4964555224408942,4.86184115779071,4560.387862361787,6097.671204474629,1906.3996430891202,0.0,3802.5,8362.887862361786,-4560.387862361786,45619200.0,16417396.304502431,4560.387862361787,262994425.17428628,73054.00699285732,21951616.336108666,6097.671204474629,534353846.11795527,148431.62392165425,6863038.715120832,1906.3996430891202,177423034.93898344,49284.17637193985,0.0,0.0,0.0,0.0,13689000.0,3802.5,474552000.0,131820.0,-16417396.304502428,-4560.387862361786,-262994425.17428622,-73054.00699285726,30106396.304502428,8362.887862361786,737546425.1742864,204874.0069928573
18,-6.0,1.0,14.235005761295985,13.78027097331898,50.0,-1.7250072586980427,-0.5927996324483336,5762.399233244596,5137.4225648814545,1543.158133552872,0.0,1267.5,7029.899233244597,-5762.399233244597,45619200.0,20744637.239680547,5762.399233244597,283739062.41396683,78816.40622610191,18494721.233573236,5137.4225648814545,552848567.3515285,153569.0464865357,5555369.280790339,1543.158133552872,182978404.21977377,50827.33450549273,0.0,0.0,0.0,0.0,4563000.0,1267.5,479115000.0,133087.5,-20744637.239680547,-5762.399233244597,-283739062.4139668,-78816.40622610186,25307637.239680547,7029.899233244597,762854062.4139669,211903.90622610188
19,-8.0,1.0,13.78027097331898,13.273671174704619,0.0,-3.789444853750994,-3.789444853750994,6419.632648041198,4704.03220938939,1378.2839605635613,0.0,0.0,6419.632648041198,-6419.632648041198,45619200.0,23110677.53294831,6419.632648041197,306849739.94691515,85236.03887414311,16934515.953801803,4704.03220938939,569783083.3053303,158273.07869592507,4961822.258028821,1378.2839605635613,187940226.4778026,52205.61846605629,0.0,0.0,0.0,0.0,0.0,0.0,479115000.0,133087.5,-23110677.53294831,-6419.632648041197,-306849739.9469151,-85236.03887414305,23110677.53294831,6419.632648041197,785964739.9469151,218323.5388741431
20,-9.0,1.0,13.273671174704619,12.757481681946906,0.0,-4.685699898793265,-4.685699898793267,6541.153252225739,4819.936073068164,1397.2716585572862,0.0,0.0,6541.15325222574,-6541.15325222574,45619200.0,23548151.708012663,6541.153252225739,330397891.6549278,91777.19212636884,17351769.86304539,4819.936073068164,587134853.1683756,163093.01476899322,5030177.97080623,1397.2716585572862,192970404.44860885,53602.89012461357,0.0,0.0,0.0,0.0,0.0,0.0,479115000.0,133087.5,-23548151.708012667,-6541.15325222574,-330397891.65492773,-91777.19212636878,23548151.708012667,6541.15325222574,809512891.6549278,224864.69212636884
21,-10.0,1.0,12.757481681946906,12.23194315055579,0.0,-5.583466568636258,-5.5834665686362595,6659.624269788224,4934.151149519573,1415.1516630459446,0.0,0.0,6659.6242697882235,-6659.6242697882235,45619200.0,23974647.37123761,6659.624269788225,354372539.0261654,98436.81639615707,17762944.13827046,4934.151149519572,604897797.3066461,168027.1659185128,5094545.9869654,1415.1516630459446,198064950.43557423,55018.04178765952,0.0,0.0,0.0,0.0,0.0,0.0,479115000.0,133087.5,-23974647.371237606,-6659.6242697882235,-354372539.02616537,-98436.81639615701,23974647.371237606,6659.6242697882235,833487539.0261655,231524.31639615705
22,-10.0,1.0,12.23194315055579,11.719082183463282,0.0,-5.685010338995971,-5.685010338995971,6498.974174996258,4820.706449273701,1381.8170860183986,0.0,0.0,6498.974174996256,-6498.974174996256,45619200.0,23396307.029986527,6498.974174996258,377768846.0561519,104935.79057115332,17354543.21738532,4820.706449273701,622252340.5240314,172847.8723677865,4974541.509666235,1381.8170860183986,203039491.94524047,56399.85887367791,0.0,0.0,0.0,0.0,0.0,0.0,479115000.0,133087.5,-23396307.029986523,-6498.974174996257,-377768846.05615187,-104935.79057115327,23396307.029986523,6498.974174996257,856883846.056152,238023.2905711533
23,-10.0,1.0,11.719082183463282,11.218592401844738,0.0,-5.784124994262859,-5.784124994262859,6342.206512670179,4709.975556409534,1349.3165283887517,0.0,0.0,6342.206512670179,-6342.206512670179,45619200.0,22831943.445612647,6342.20651267018,400600789.5017646,111277.9970838235,16955912.003074322,4709.975556409534,639208252.5271057,177557.84792419604,4857539.502199506,1349.3165283887517,207897031.44743997,57749.17540206666,0.0,0.0,0.0,0.0,0.0,0.0,479115000.0,133087.5,-22831943.445612647,-6342.20651267018,-400600789.50176454,-111277.99708382344,22831943.445612647,6342.20651267018,879715789.5017647,244365.4970838235
